,neuron_idx,clamp_value,ln_scale
0,584,0,11.329947471618652
1,584,1,11.136931419372559
2,584,2,10.947257995605469
3,584,3,10.761112213134766
4,584,4,10.578690528869629
5,584,5,10.400190353393555
6,2123,0,11.31808090209961
7,2123,1,11.154967308044434
8,2123,2,10.993885040283203
9,2123,3,10.834927558898926
10,2123,4,10.678193092346191
11,2123,5,10.523780822753906
12,1611,0,11.14856243133545
13,1611,1,11.267431259155273
14,1611,2,11.38732624053955
15,1611,3,11.50821304321289
16,1611,4,11.630067825317383
17,1611,5,11.752852439880371
18,2870,0,11.27460765838623
19,2870,1,11.428939819335938
20,2870,2,11.587240219116211
21,2870,3,11.749350547790527
22,2870,4,11.915120124816895
23,2870,5,12.084396362304688
24,2910,0,10.954086303710938
25,2910,1,11.050383567810059
26,2910,2,11.147515296936035
27,2910,3,11.245454788208008
28,2910,4,11.344185829162598
29,2910,5,11.443680763244629
30,2378,0,11.00376033782959
31,2378,1,11.05957317352295
32,2378,2,11.124200820922852
33,2378,3,11.197477340698242
34,2378,4,11.279216766357422
35,2378,5,11.369227409362793
36,2044,0,11.140857696533203
37,2044,1,11.235440254211426
38,2044,2,11.330975532531738
39,2044,3,11.427448272705078
40,2044,4,11.524824142456055
41,2044,5,11.623092651367188
42,1927,0,11.194607734680176
43,1927,1,11.290570259094238
44,1927,2,11.387561798095703
45,1927,3,11.485560417175293
46,1927,4,11.5845365524292
47,1927,5,11.684463500976562
48,2462,0,11.182188987731934
49,2462,1,11.278948783874512
50,2462,2,11.376957893371582
51,2462,3,11.476179122924805
52,2462,4,11.576587677001953
53,2462,5,11.678146362304688
54,598,0,11.28230094909668
55,598,1,11.411771774291992
56,598,2,11.542946815490723
57,598,3,11.675765991210938
58,598,4,11.81017017364502
59,598,5,11.946105003356934
60,2928,0,11.362679481506348
61,2928,1,11.284880638122559
62,2928,2,11.208783149719238
63,2928,3,11.134420394897461
64,2928,4,11.06182861328125
65,2928,5,10.99104118347168
66,2032,0,11.289039611816406
67,2032,1,11.392459869384766
68,2032,2,11.497245788574219
69,2032,3,11.603354454040527
70,2032,4,11.710752487182617
71,2032,5,11.819402694702148
72,1245,0,11.35012149810791
73,1245,1,11.261676788330078
74,1245,2,11.174530982971191
75,1245,3,11.088713645935059
76,1245,4,11.004260063171387
77,1245,5,10.921201705932617
78,2727,0,11.351788520812988
79,2727,1,11.249204635620117
80,2727,2,11.14834976196289
81,2727,3,11.049274444580078
82,2727,4,10.952028274536133
83,2727,5,10.85665512084961
84,2460,0,11.35961627960205
85,2460,1,11.271918296813965
86,2460,2,11.18572998046875
87,2460,3,11.101093292236328
88,2460,4,11.01802921295166
89,2460,5,10.936593055725098
90,1322,0,11.288107872009277
91,1322,1,11.392077445983887
92,1322,2,11.497186660766602
93,1322,3,11.603397369384766
94,1322,4,11.710677146911621
95,1322,5,11.81899642944336
96,2173,0,11.257636070251465
97,2173,1,11.360912322998047
98,2173,2,11.465435981750488
99,2173,3,11.571172714233398
100,2173,4,11.67809009552002
101,2173,5,11.786150932312012
102,1486,0,11.266149520874023
103,1486,1,11.350451469421387
104,1486,2,11.435744285583496
105,1486,3,11.52199649810791
106,1486,4,11.609190940856934
107,1486,5,11.697307586669922
108,541,0,11.30298900604248
109,541,1,11.260896682739258
110,541,2,11.223821640014648
111,541,3,11.191819190979004
112,541,4,11.164932250976562
113,541,5,11.143198013305664
114,480,0,11.26607894897461
115,480,1,11.366223335266113
116,480,2,11.467238426208496
117,480,3,11.569101333618164
118,480,4,11.67178726196289
119,480,5,11.775277137756348
